MesContable,MesCreacion,Numero,Cuenta,TipoSaldo,TipoOrigen,Cant,Total_Importe1,Importe_cierre,Importe_operativo
b'2024-07',b'2024-10',21301003,RETENCION Y EMBARGO JUDICIALES,1,0,1,1684230.04,0.0,1684230.04
b'2024-11',b'2024-11',21301003,RETENCION Y EMBARGO JUDICIALES,0,2,6,2007567.49,0.0,2007567.49
b'2024-12',b'2024-12',21301003,RETENCION Y EMBARGO JUDICIALES,0,2,9,2876436.0,0.0,2876436.0
b'2025-01',b'2025-01',21301003,RETENCION Y EMBARGO JUDICIALES,0,2,6,2249608.96,0.0,2249608.96
b'2025-02',b'2025-02',21301003,RETENCION Y EMBARGO JUDICIALES,0,2,5,2244171.04,0.0,2244171.04
b'2025-03',b'2025-03',21301003,RETENCION Y EMBARGO JUDICIALES,0,2,4,2098926.69,0.0,2098926.69
b'2024-12',b'2025-03',21301003,RETENCION Y EMBARGO JUDICIALES,0,0,1,90548.05,90548.05,0.0
b'2024-10',b'2025-03',21301003,RETENCION Y EMBARGO JUDICIALES,1,0,1,2007567.49,2007567.49,0.0
b'2024-11',b'2025-03',21301003,RETENCION Y EMBARGO JUDICIALES,1,0,1,2190165.45,2190165.45,0.0
b'2024-12',b'2025-03',21301003,RETENCION Y EMBARGO JUDICIALES,1,0,1,2935879.51,0.0,2935879.51
b'2025-04',b'2025-04',21301003,RETENCION Y EMBARGO JUDICIALES,0,2,4,2044903.27,0.0,2044903.27
b'2024-12',b'2025-05',21301003,RETENCION Y EMBARGO JUDICIALES,0,11,1,2159060.91,2159060.91,0.0
b'2025-05',b'2025-05',21301003,RETENCION Y EMBARGO JUDICIALES,0,2,4,2348200.82,0.0,2348200.82
b'2025-01',b'2025-05',21301003,RETENCION Y EMBARGO JUDICIALES,1,0,1,2159060.91,2159060.91,0.0
b'2025-06',b'2025-06',21301003,RETENCION Y EMBARGO JUDICIALES,0,2,9,3299725.19,0.0,3299725.19
b'2025-06',b'2025-06',21301003,RETENCION Y EMBARGO JUDICIALES,1,2,1,352855.7,0.0,352855.7
b'2025-03',b'2025-06',21301003,RETENCION Y EMBARGO JUDICIALES,1,0,1,2044903.27,0.0,2044903.27
b'2025-01',b'2025-06',21301003,RETENCION Y EMBARGO JUDICIALES,1,0,1,2334719.09,2334719.09,0.0
b'2025-04',b'2025-06',21301003,RETENCION Y EMBARGO JUDICIALES,1,0,1,2348200.82,0.0,2348200.82
b'2025-02',b'2025-06',21301003,RETENCION Y EMBARGO JUDICIALES,1,0,1,2098926.69,2098926.69,0.0
b'2025-06',b'2025-07',21301003,RETENCION Y EMBARGO JUDICIALES,1,0,1,3147154.72,0.0,3147154.72
b'2025-05',b'2025-07',21301003,RETENCION Y EMBARGO JUDICIALES,1,0,1,2169877.49,0.0,2169877.49
b'2025-08',b'2025-08',21301003,RETENCION Y EMBARGO JUDICIALES,0,2,6,3117580.44,0.0,3117580.44
